agent_i,agent_j,batch_index,epoch,mean_absolute_disagreement,overlap_height,overlap_width,split
9,14,2,1,0.0032209965866059065,16,16,train
10,11,2,1,0.009212165139615536,48,16,train
10,13,2,1,0.008816221728920937,16,16,train
10,14,2,1,0.004775098524987698,16,48,train
10,15,2,1,0.015044040977954865,16,16,train
11,14,2,1,0.0044736419804394245,16,16,train
11,15,2,1,0.00593805406242609,16,40,train
12,13,2,1,0.014280282892286777,40,16,train
13,14,2,1,0.004023553803563118,40,16,train
14,15,2,1,0.0102959293872118,40,16,train
0,1,3,1,0.011681152507662773,40,16,train
0,4,3,1,0.012141435407102108,16,40,train
0,5,3,1,0.015938449651002884,16,16,train
1,2,3,1,0.004214538726955652,40,16,train
1,4,3,1,0.0014324176590889692,16,16,train
1,5,3,1,0.004301079548895359,16,48,train
1,6,3,1,0.009549470618367195,16,16,train
2,3,3,1,0.00879680085927248,40,16,train
2,5,3,1,0.008434212766587734,16,16,train
2,6,3,1,0.013743594288825989,16,48,train
2,7,3,1,0.0021790957543998957,16,16,train
3,6,3,1,0.022524414584040642,16,16,train
3,7,3,1,0.010959076695144176,16,40,train
4,5,3,1,0.0037173947785049677,48,16,train
4,8,3,1,0.0032980618998408318,16,40,train
4,9,3,1,0.0060589974746108055,16,16,train
5,6,3,1,0.005278869066387415,48,16,train
5,8,3,1,0.006764181889593601,16,16,train
5,9,3,1,0.0022528069093823433,16,48,train
5,10,3,1,0.003844719845801592,16,16,train
6,7,3,1,0.011602187529206276,48,16,train
6,9,3,1,0.0031357938423752785,16,16,train
6,10,3,1,0.001459420775063336,16,48,train
6,11,3,1,0.010636631399393082,16,16,train
7,10,3,1,0.010152281261980534,16,16,train
7,11,3,1,0.0010654644574970007,16,40,train
8,9,3,1,0.009063197299838066,48,16,train
8,12,3,1,0.012524900957942009,16,40,train
8,13,3,1,0.0017670434899628162,16,16,train
9,10,3,1,0.0020058138761669397,48,16,train
9,12,3,1,0.021582625806331635,16,16,train
9,13,3,1,0.007232667412608862,16,48,train
9,14,3,1,0.003201729152351618,16,16,train
10,11,3,1,0.009207068011164665,48,16,train
10,13,3,1,0.00880001112818718,16,16,train
10,14,3,1,0.004739510826766491,16,48,train
10,15,3,1,0.015109725296497345,16,16,train
11,14,3,1,0.004457624163478613,16,16,train
11,15,3,1,0.0059202988632023335,16,40,train
12,13,3,1,0.014304392039775848,40,16,train
13,14,3,1,0.004045501351356506,40,16,train
14,15,3,1,0.010316125117242336,40,16,train
0,1,4,1,0.011685348115861416,40,16,train
0,4,4,1,0.012267723679542542,16,40,train
0,5,4,1,0.01598365046083927,16,16,train
1,2,4,1,0.004224043805152178,40,16,train
1,4,4,1,0.0012259820941835642,16,16,train
1,5,4,1,0.004334012512117624,16,48,train
1,6,4,1,0.009550931863486767,16,16,train
2,3,4,1,0.008789659477770329,40,16,train
2,5,4,1,0.008564068004488945,16,16,train
2,6,4,1,0.013764199800789356,16,48,train
2,7,4,1,0.002179350471124053,16,16,train
3,6,4,1,0.02249774895608425,16,16,train
3,7,4,1,0.010947196744382381,16,40,train
4,5,4,1,0.0037285247817635536,48,16,train
4,8,4,1,0.003293228568509221,16,40,train
4,9,4,1,0.006117725744843483,16,16,train
5,6,4,1,0.005246239248663187,48,16,train
5,8,4,1,0.006799496244639158,16,16,train
5,9,4,1,0.0022853584960103035,16,48,train
5,10,4,1,0.0037162399385124445,16,16,train
6,7,4,1,0.011584913358092308,48,16,train
6,9,4,1,0.00311089213937521,16,16,train
6,10,4,1,0.0014943238347768784,16,48,train
6,11,4,1,0.010641684755682945,16,16,train
7,10,4,1,0.010113764554262161,16,16,train
7,11,4,1,0.001100887660868466,16,40,train
8,9,4,1,0.009045549668371677,48,16,train
8,12,4,1,0.0125397564843297,16,40,train
8,13,4,1,0.0017769401893019676,16,16,train
9,10,4,1,0.002017122460529208,48,16,train
9,12,4,1,0.021629836410284042,16,16,train
9,13,4,1,0.00729029905050993,16,48,train
9,14,4,1,0.003277695504948497,16,16,train
10,11,4,1,0.009250758215785027,48,16,train
10,13,4,1,0.00879117101430893,16,16,train
10,14,4,1,0.004757790360599756,16,48,train
10,15,4,1,0.014913869090378284,16,16,train
11,14,4,1,0.004473286680877209,16,16,train
11,15,4,1,0.005917550064623356,16,40,train
12,13,4,1,0.014335756190121174,40,16,train
13,14,4,1,0.004043431021273136,40,16,train
14,15,4,1,0.010251865722239017,40,16,train
0,1,0,1,0.011646643280982971,40,16,validation
0,4,0,1,0.012130049988627434,16,40,validation
0,5,0,1,0.015948859974741936,16,16,validation
1,2,0,1,0.004196013789623976,40,16,validation
1,4,0,1,0.0014104240108281374,16,16,validation
1,5,0,1,0.004312397446483374,16,48,validation
1,6,0,1,0.009547214955091476,16,16,validation
2,3,0,1,0.008778047747910023,40,16,validation
2,5,0,1,0.008511777967214584,16,16,validation
2,6,0,1,0.013747841119766235,16,48,validation
2,7,0,1,0.0021800335962325335,16,16,validation
3,6,0,1,0.02251727506518364,16,16,validation
3,7,0,1,0.010947355069220066,16,40,validation
4,5,0,1,0.0037233976181596518,48,16,validation
4,8,0,1,0.0033083921298384666,16,40,validation
4,9,0,1,0.005678860936313868,16,16,validation
5,6,0,1,0.005279626231640577,48,16,validation
5,8,0,1,0.0066630905494093895,16,16,validation
5,9,0,1,0.0022194336634129286,16,48,validation
5,10,0,1,0.0038672310765832663,16,16,validation
6,7,0,1,0.011567370034754276,48,16,validation
6,9,0,1,0.003152451477944851,16,16,validation
6,10,0,1,0.001439951010979712,16,48,validation
6,11,0,1,0.010657887905836105,16,16,validation
7,10,0,1,0.010127338580787182,16,16,validation
7,11,0,1,0.001054698950611055,16,40,validation
8,9,0,1,0.009019332006573677,48,16,validation
8,12,0,1,0.01256316713988781,16,40,validation
8,13,0,1,0.0017809898126870394,16,16,validation
9,10,0,1,0.0019832607358694077,48,16,validation
9,12,0,1,0.021670369431376457,16,16,validation
9,13,0,1,0.007273685187101364,16,48,validation
9,14,0,1,0.003263386432081461,16,16,validation
10,11,0,1,0.009225447662174702,48,16,validation
10,13,0,1,0.008794753812253475,16,16,validation
10,14,0,1,0.0047630141489207745,16,48,validation
10,15,0,1,0.015008087269961834,16,16,validation
11,14,0,1,0.004459198098629713,16,16,validation
11,15,0,1,0.005911513231694698,16,40,validation
12,13,0,1,0.014306879602372646,40,16,validation
13,14,0,1,0.004048139788210392,40,16,validation
14,15,0,1,0.010259779170155525,40,16,validation
0,1,1,1,0.011667908169329166,40,16,validation
0,4,1,1,0.012213914655148983,16,40,validation
0,5,1,1,0.015955708920955658,16,16,validation
1,2,1,1,0.004205903969705105,40,16,validation
1,4,1,1,0.0013378678122535348,16,16,validation
1,5,1,1,0.004307006951421499,16,48,validation
1,6,1,1,0.009553100913763046,16,16,validation
2,3,1,1,0.008844826370477676,40,16,validation
2,5,1,1,0.008451134897768497,16,16,validation
2,6,1,1,0.013741796836256981,16,48,validation
2,7,1,1,0.002117057330906391,16,16,validation
3,6,1,1,0.022564541548490524,16,16,validation
3,7,1,1,0.01095338724553585,16,40,validation
4,5,1,1,0.0036953275557607412,48,16,validation
4,8,1,1,0.003300981130450964,16,40,validation
4,9,1,1,0.0058881924487650394,16,16,validation
5,6,1,1,0.005283745005726814,48,16,validation
5,8,1,1,0.006718064658343792,16,16,validation
5,9,1,1,0.0022302689030766487,16,48,validation
5,10,1,1,0.003832702524960041,16,16,validation
6,7,1,1,0.011557445861399174,48,16,validation
6,9,1,1,0.0031299879774451256,16,16,validation
6,10,1,1,0.0014559185365214944,16,48,validation
6,11,1,1,0.010658145882189274,16,16,validation
7,10,1,1,0.010108960792422295,16,16,validation
7,11,1,1,0.001061108079738915,16,40,validation
8,9,1,1,0.009006603620946407,48,16,validation
8,12,1,1,0.012541933916509151,16,40,validation
8,13,1,1,0.0017684107879176736,16,16,validation
9,10,1,1,0.0019716632086783648,48,16,validation
9,12,1,1,0.021607637405395508,16,16,validation
9,13,1,1,0.007273877505213022,16,48,validation
9,14,1,1,0.003182071726769209,16,16,validation
10,11,1,1,0.009222645312547684,48,16,validation
10,13,1,1,0.008808214217424393,16,16,validation
10,14,1,1,0.004782324656844139,16,48,validation
10,15,1,1,0.015141253359615803,16,16,validation
11,14,1,1,0.004461225587874651,16,16,validation
11,15,1,1,0.005933039356023073,16,40,validation
12,13,1,1,0.014292602427303791,40,16,validation
13,14,1,1,0.004023953806608915,40,16,validation
14,15,1,1,0.010346994735300541,40,16,validation
0,1,2,1,0.011690281331539154,40,16,validation
0,4,2,1,0.012379945255815983,16,40,validation
0,5,2,1,0.015973571687936783,16,16,validation
1,2,2,1,0.004251008853316307,40,16,validation
1,4,2,1,0.0011895484058186412,16,16,validation
1,5,2,1,0.00428107101470232,16,48,validation
1,6,2,1,0.009540829807519913,16,16,validation
2,3,2,1,0.008744132705032825,40,16,validation
2,5,2,1,0.008574233390390873,16,16,validation
2,6,2,1,0.013801666907966137,16,48,validation
2,7,2,1,0.002237635897472501,16,16,validation
3,6,2,1,0.022478986531496048,16,16,validation
3,7,2,1,0.010932392440736294,16,40,validation
4,5,2,1,0.003610172774642706,48,16,validation
4,8,2,1,0.0033007541205734015,16,40,validation
4,9,2,1,0.00577895063906908,16,16,validation
5,6,2,1,0.005266486667096615,48,16,validation
5,8,2,1,0.006686076056212187,16,16,validation
5,9,2,1,0.002258503343909979,16,48,validation
5,10,2,1,0.00379446754232049,16,16,validation
6,7,2,1,0.011546578258275986,48,16,validation
6,9,2,1,0.003103511640802026,16,16,validation
6,10,2,1,0.0014651495730504394,16,48,validation
6,11,2,1,0.010591967031359673,16,16,validation
7,10,2,1,0.010038502514362335,16,16,validation
7,11,2,1,0.0011199271539226174,16,40,validation
8,9,2,1,0.008970667608082294,48,16,validation
8,12,2,1,0.012539379298686981,16,40,validation
8,13,2,1,0.0017915331991389394,16,16,validation
9,10,2,1,0.002015333855524659,48,16,validation
9,12,2,1,0.021630996838212013,16,16,validation
9,13,2,1,0.007252784445881844,16,48,validation
9,14,2,1,0.0032318769954144955,16,16,validation
10,11,2,1,0.009212980046868324,48,16,validation
10,13,2,1,0.008776499889791012,16,16,validation
10,14,2,1,0.004766923375427723,16,48,validation
10,15,2,1,0.015111875720322132,16,16,validation
11,14,2,1,0.0044618635438382626,16,16,validation
11,15,2,1,0.005937218200415373,16,40,validation
12,13,2,1,0.014359231106936932,40,16,validation
13,14,2,1,0.00403624726459384,40,16,validation
14,15,2,1,0.01035388931632042,40,16,validation
0,1,3,1,0.011674732901155949,40,16,validation
0,4,3,1,0.01215109322220087,16,40,validation
0,5,3,1,0.015963947400450706,16,16,validation
1,2,3,1,0.004175191279500723,40,16,validation
1,4,3,1,0.0014174400130286813,16,16,validation
1,5,3,1,0.0043506924994289875,16,48,validation
1,6,3,1,0.009568900801241398,16,16,validation
2,3,3,1,0.00867508351802826,40,16,validation
2,5,3,1,0.008589208126068115,16,16,validation
2,6,3,1,0.013783760368824005,16,48,validation
2,7,3,1,0.002256597625091672,16,16,validation
3,6,3,1,0.022463880479335785,16,16,validation
3,7,3,1,0.010918238200247288,16,40,validation
4,5,3,1,0.0036996230483055115,48,16,validation
4,8,3,1,0.0033112894743680954,16,40,validation
4,9,3,1,0.005695736967027187,16,16,validation
5,6,3,1,0.005240282043814659,48,16,validation
5,8,3,1,0.006695824675261974,16,16,validation
5,9,3,1,0.0022729067131876945,16,48,validation
5,10,3,1,0.0038033677265048027,16,16,validation
6,7,3,1,0.011567698791623116,48,16,validation
6,9,3,1,0.003147503826767206,16,16,validation
6,10,3,1,0.0014657167484983802,16,48,validation
6,11,3,1,0.010632703080773354,16,16,validation
7,10,3,1,0.01006311271339655,16,16,validation
7,11,3,1,0.0011130485218018293,16,40,validation
8,9,3,1,0.008952628821134567,48,16,validation
8,12,3,1,0.012501831166446209,16,40,validation
8,13,3,1,0.0017605888424441218,16,16,validation
9,10,3,1,0.0020395051687955856,48,16,validation
9,12,3,1,0.021586880087852478,16,16,validation
9,13,3,1,0.007325759157538414,16,48,validation
9,14,3,1,0.003304140642285347,16,16,validation
10,11,3,1,0.009232008829712868,48,16,validation
